Lot ,Nom ,Quantité,Unité, Prix HT , Total HT 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Ossature Métallique,Panne 150mm Charpente,248.57,Kg, €1.70 , €422.57 
Ossature Métallique,Mur Int.,216.52,Kg, €1.70 , €368.08 
Ossature Métallique,Mur Ext.,584.06,Kg, €1.70 , €992.90 
Ossature Métallique,Plancher,2158.92,Kg, €1.70 , €3 670.16 
Ossature Métallique,Plaque de Vivaboard ep20mm 1220x2440,22,U, €100.00 , €2 200.00 
Ossature Métallique,Mur Temporaire,384.41,kg, €0.50 , €192.21 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Couverture,Tôle 1000P Alu (Couverture/Bardage),126.91,m², €20.00 , €2 538.20 
Couverture,Toile - Arcatissue,57.09,ml, €1.43 , €81.64 
Couverture,Vis Complète pour couverture,651,U, €2.22 , €1 445.22 
Couverture,Crochet de sécurité,5,U, €30.00 , €150.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
OSB,Plaque OSB,25,U, €23.00 , €575.00 
OSB,Vis TFC 4.8*50,769,U, €0.07 , €53.83 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Isolation,Laine de verre Ep.100mm,58.13,m², €13.27 , €771.39 
Isolation,Adhésif Orange 50m,2,U, €5.90 , €11.80 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Bardage,Bardage Fibro Lame,31.08,m², €50.00 , €1 554.00 
Bardage,Pare-pluie,77.71,m², €2.20 , €170.96 
Bardage,Chevron 40mmx40mm 3m,43,U, €3.60 , €154.80 
Bardage,Vis bardage,311,U, €1.00 , €311.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Placo,Plaque placo BA13 1.2x2.5m,58,U, €15.75 , €913.50 
Placo,Nevolatte,5.3,m², €18.50 , €98.05 
Placo,Prégylys 45,3,U, €34.20 , €102.60 
Placo,Vis placo boite 500 TCB-C-3.5x10 ZN,4,U, €8.50 , €34.00 
Placo,Disque de ponçage,20,U, €0.90 , €18.00 
Placo,Suspente courte F47 8cm,67,U, €0.23 , €15.41 
Placo,Bande à joint,348,ml, €0.17 , €59.16 
Placo,Sac Enduit 25kg,10,U, €1.00 , €10.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Peinture - Carrelage,Peinture Int. Pot Covatex 16L,2,U, €120.00 , €240.00 
Peinture - Carrelage,Carrelage,63.79,m², €30.00 , €1 913.70 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Pliage Bardage,Grille anti rongeur,61.41,ml, €9.80 , €601.82 
Pliage Bardage,Bavette,22.33,ml, €12.00 , €267.96 
Pliage Bardage,Couvertine Verticale 212mm intérieur,2.75,ml, €17.00 , €46.75 
Pliage Bardage,Pliage d'angle,9.17,ml, €17.60 , €161.39 
Pliage Couverture,Coffre de rive,10.7,ml, €25.80 , €276.06 
Pliage Couverture,Faîtage,8.92,ml, €15.90 , €141.83 
Pliage Couverture,noue,8.92,ml, €15.10 , €134.69 
Pliage Couverture,Egout,17.85,ml, €22.00 , €392.70 
Pliage Couverture,Gouttière,17.85,ml, €1.00 , €17.85 
Pliage Couverture,Tôle de rive,10.7,ml, €16.80 , €179.76 
Pliage Menuiserie,Linteau,9.2,ml, €20.70 , €190.44 
Pliage Menuiserie,Appui de fenêtre,4.4,ml, €16.30 , €71.72 
Pliage Menuiserie,Jambage,23.05,ml, €14.20 , €327.31 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Menuiseries Intérieure,Porte intérieure 83,1,U, €100.00 , €100.00 
Menuiseries Intérieure,Porte intérieure Coulissante (900x2100),2,U, €200.00 , €400.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Sanitaires,Bac à Douche à poser (900x900),1,U, €200.00 , €200.00 
Sanitaires,Lavabo sur pied,1,U, €280.00 , €280.00 
Sanitaires,WC à réservoir,1,U, €150.00 , €150.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
-,-,-,-, Total , €23 008.46 
