Lot ,Nom ,Quantité,Unité, Prix HT , Total HT 
Fondation - Maçonnerie,Fouille Fondation,2,J, €600.00 , €1 200.00 
Fondation - Maçonnerie,Béton Fondation,10.39,m³, €250.00 , €2 597.50 
Fondation - Maçonnerie,Etanchéité des fondations - Bitume,29.61,m², €12.50 , €370.13 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Ossature Métallique,Panne 150mm Charpente,261.04,Kg, €1.70 , €443.77 
Ossature Métallique,Mur Int.,297.3,Kg, €1.70 , €505.41 
Ossature Métallique,Mur Ext.,503.14,Kg, €1.70 , €855.34 
Ossature Métallique,Plancher,1275.84,Kg, €1.70 , €2 168.93 
Ossature Métallique,Plaque de Vivaboard ep20mm 1220x2440,23,U, €100.00 , €2 300.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Couverture,Tôle 1000P Alu (Couverture/Bardage),119.29,m², €20.00 , €2 385.80 
Couverture,Toile - Arcatissue,56.91,ml, €1.43 , €81.38 
Couverture,Vis Complète pour couverture,684,U, €2.22 , €1 518.48 
Couverture,Crochet de sécurité,5,U, €30.00 , €150.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
OSB,Plaque OSB,33,U, €23.00 , €759.00 
OSB,Vis TFC 4.8*50,1001,U, €0.07 , €70.07 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Isolation,Laine de verre Ep.100mm,74.21,m², €13.27 , €984.77 
Isolation,Adhésif Orange 50m,2,U, €5.90 , €11.80 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Bardage,Bardage Fibro Lame,66.29,m², €50.00 , €3 314.50 
Bardage,Pare-pluie,100.62,m², €2.20 , €221.36 
Bardage,Chevron 40mmx40mm 3m,56,U, €3.60 , €201.60 
Bardage,Vis bardage,663,U, €1.00 , €663.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Placo,Plaque placo BA13 1.2x2.5m,76,U, €15.75 , €1 197.00 
Placo,Prégylys 45,4,U, €34.20 , €136.80 
Placo,Vis placo boite 500 TCB-C-3.5x10 ZN,5,U, €8.50 , €42.50 
Placo,Disque de ponçage,26,U, €0.90 , €23.40 
Placo,Suspente courte F47 8cm,93,U, €0.23 , €21.39 
Placo,Bande à joint,455,ml, €0.17 , €77.35 
Placo,Sac Enduit 25kg,12,U, €1.00 , €12.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Peinture - Carrelage,Peinture Int. Pot Covatex 16L,2,U, €120.00 , €240.00 
Peinture - Carrelage,Carrelage,66.42,m², €30.00 , €1 992.60 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Pliage Bardage,Grille anti rongeur,72.78,ml, €9.80 , €713.24 
Pliage Bardage,Bavette,36.39,ml, €12.00 , €436.68 
Pliage Bardage,Pliage d'angle,14.6,ml, €17.60 , €256.96 
Pliage Bardage,Pliages de raccord,26.55,ml, €14.00 , €371.70 
Pliage Couverture,Coffre de rive,11.99,ml, €25.80 , €309.34 
Pliage Couverture,Egout,16.47,ml, €22.00 , €362.34 
Pliage Couverture,Gouttière,16.47,ml, €1.00 , €16.47 
Pliage Couverture,Solin,8.23,ml, €15.10 , €124.27 
Pliage Couverture,Tôle de rive,11.99,ml, €16.80 , €201.43 
Pliage Couverture,Demi Faitière,8.23,ml, €25.80 , €212.33 
Pliage Menuiserie,Linteau,8.7,ml, €20.70 , €180.09 
Pliage Menuiserie,Appui de fenêtre,5,ml, €16.30 , €81.50 
Pliage Menuiserie,Jambage,19.31,ml, €14.20 , €274.20 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Menuiseries Intérieure,Porte intérieure 83,3,U, €100.00 , €300.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Sanitaires,Bac à Douche à poser (900x1200),1,U, €250.00 , €250.00 
Sanitaires,Colonne de Douche,1,U, €100.00 , €100.00 
Sanitaires,Lavabo sur pied,1,U, €280.00 , €280.00 
Sanitaires,WC à réservoir,1,U, €150.00 , €150.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
-,-,-,-, Total , €29 166.44 
