Lot ,Nom ,Quantité,Unité, Prix HT , Total HT 
Fondation - Maçonnerie,Fouille Fondation,1,J, €600.00 , €600.00 
Fondation - Maçonnerie,Béton Fondation,3.94,m³, €250.00 , €985.00 
Fondation - Maçonnerie,Etanchéité des fondations - Bitume,9.47,m², €12.50 , €118.38 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Ossature Métallique,Panne 150mm Charpente,282.8,Kg, €1.70 , €480.76 
Ossature Métallique,Ossature de Charpente,461.13,Kg, €1.70 , €783.92 
Ossature Métallique,Mur Int.,291.32,Kg, €1.70 , €495.24 
Ossature Métallique,Mur Ext.,683.68,Kg, €1.70 , €1 162.26 
Ossature Métallique,Plancher,1697.58,Kg, €1.70 , €2 885.89 
Ossature Métallique,Plaque de Vivaboard ep20mm 1220x2440,31,U, €100.00 , €3 100.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Acier Lourd,IPE 240,29.2,ml, €70.00 , €2 044.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Couverture,Tôle 1000P Alu (Couverture/Bardage),149.13,m², €20.00 , €2 982.60 
Couverture,Toile - Arcatissue,59.77,ml, €1.43 , €85.47 
Couverture,Vis Complète pour couverture,741,U, €2.22 , €1 645.02 
Couverture,Crochet de sécurité,5,U, €30.00 , €150.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
OSB,Plaque OSB,33,U, €23.00 , €759.00 
OSB,Vis TFC 4.8*50,1001,U, €0.07 , €70.07 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Isolation,Laine de verre Ep.100mm,73.87,m², €13.27 , €980.25 
Isolation,Adhésif Orange 50m,2,U, €5.90 , €11.80 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Bardage,Bardage Fibro Lame,43.33,m², €50.00 , €2 166.50 
Bardage,Pare-pluie,100.65,m², €2.20 , €221.43 
Bardage,Chevron 40mmx40mm 3m,56,U, €3.60 , €201.60 
Bardage,Vis bardage,434,U, €1.00 , €434.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Placo,Plaque placo BA13 1.2x2.5m,77,U, €15.75 , €1 212.75 
Placo,Prégylys 45,4,U, €34.20 , €136.80 
Placo,Vis placo boite 500 TCB-C-3.5x10 ZN,5,U, €8.50 , €42.50 
Placo,Disque de ponçage,26,U, €0.90 , €23.40 
Placo,Suspente courte F47 8cm,98,U, €0.23 , €22.54 
Placo,Bande à joint,459,ml, €0.17 , €78.03 
Placo,Sac Enduit 25kg,12,U, €1.00 , €12.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Peinture - Carrelage,Peinture Int. Pot Covatex 16L,2,U, €120.00 , €240.00 
Peinture - Carrelage,Carrelage,90.44,m², €30.00 , €2 713.20 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Pliage Bardage,Grille anti rongeur,74.24,ml, €9.80 , €727.55 
Pliage Bardage,Bavette,37.12,ml, €12.00 , €445.44 
Pliage Bardage,Pliage d'angle,14.71,ml, €17.60 , €258.90 
Pliage Couverture,Coffre de rive,23.77,ml, €25.80 , €613.27 
Pliage Couverture,Egout,18,ml, €22.00 , €396.00 
Pliage Couverture,Gouttière,18,ml, €1.00 , €18.00 
Pliage Couverture,Solin,9,ml, €15.10 , €135.90 
Pliage Couverture,Tôle Demi Faitière,9,ml, €26.00 , €234.00 
Pliage Menuiserie,Linteau,11.2,ml, €20.70 , €231.84 
Pliage Menuiserie,Appui de fenêtre,7.4,ml, €16.30 , €120.62 
Pliage Menuiserie,Jambage,23.79,ml, €14.20 , €337.82 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Menuiseries Intérieure,Porte intérieure 83,4,U, €100.00 , €400.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Sanitaires,Bac à Douche encastré (900x1200),1,U, €305.00 , €305.00 
Sanitaires,Colonne de Douche,1,U, €100.00 , €100.00 
Sanitaires,Lavabo sur pied,1,U, €280.00 , €280.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
-,-,-,-, Total , €31 448.74 
