Fondation / Maçonnerie,Fouille Fondation,0,J, 600.00 € , -   € 
Fondation / Maçonnerie,Béton Fondation,0,m³, 250.00 € , -   € 
Fondation / Maçonnerie,Pierre 20x40,0,U, 1.50 € , -   € 
Fondation / Maçonnerie,Herissonnage,0,m³, 64.00 € , -   € 
Fondation / Maçonnerie,Polyane Anti Termite,0,m², 5.00 € , -   € 
Fondation / Maçonnerie,Sable,0,m³, 70.00 € , -   € 
Fondation / Maçonnerie,Etanchéité des fondations - Bitume,0,m², 12.50 € , -   € 
Fondation / Maçonnerie,Dallage Béton,0,m³, 250.00 € , -   € 
Fondation / Maçonnerie,Treillis ST25 maille 15 x 30 cm fil 7 mm 6 x 2.40m,0,U, 67.90 € , -   € 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Ossature Métallique,Panne 150mm Charpente,0,Kg, 1.70 € , -   € 
Ossature Métallique,Mur Int.,0,Kg, 1.70 € , -   € 
Ossature Métallique,Mur Ext.,0,Kg, 1.70 € , -   € 
Ossature Métallique,Plancher,0,Kg, 1.70 € , -   € 
Ossature Métallique,Plaque de Vivaboard ep20mm 1220x2440,0,U, 100.00 € , -   € 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Couverture,Tôle Ondulée Alu (Couverture/Bardage),0,m², 18.50 € , -   € 
Couverture,Tôle 1000P Alu (Couverture/Bardage),0,m², 20.00 € , -   € 
Couverture,Toile - Arcatissue,0,ml, 1.43 € , -   € 
Couverture,Vis Complète pour couverture,0,U, 2.22 € , -   € 
Couverture,Crochet de sécurité,0,U, 30.00 € , -   € 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
OSB,Plaque OSB,0,U, 23.00 € , -   € 
OSB,"Vis TFC 4,8*50",0,U, 0.07 € , -   € 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Isolation,Laine de verre Ep.100mm,0,m², 13.27 € , -   € 
Isolation,Adhésif Orange 50m,0,U, 5.90 € , -   € 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Bardage,Bardage Fibro Lame,0,m², 50.00 € , -   € 
Bardage,Pare-pluie,0,m², 2.20 € , -   € 
Bardage,Chevron 40mmx40mm 3m,0,U, 3.60 € , -   € 
Bardage,Vis bardage,0,U, 1.00 € , -   € 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Placo,Plaque placo BA13 1.2x2.5m,0,U, 15.75 € , -   € 
Placo,Nevolatte,0,m², 18.50 € , -   € 
Placo,Prégylys 45,0,U, 34.20 € , -   € 
Placo,Vis placo boite 500 TCB-C-3.5x10 ZN,0,U, 8.50 € , -   € 
Placo,Disque de ponçage,0,U, 0.90 € , -   € 
Placo,Suspente courte F47 8cm,0,U, 0.23 € , -   € 
Placo,Bande à joint,0,ml, 0.17 € , -   € 
Placo,Sac Enduit 25kg,0,U, 1.00 € , -   € 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Peinture / Carrelage,Peinture Int. Pot Covatex 16L,0,U, 120.00 € , -   € 
Peinture / Carrelage,Carrelage,0,m², 30.00 € , -   € 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Pliage Bardage,Grille anti rongeur,0,ml, 9.80 € , -   € 
Pliage Bardage,Bavette,0,ml, 12.00 € , -   € 
Pliage Bardage,Couvertine Verticale 146mm intérieur,0,ml, 17.00 € , -   € 
Pliage Bardage,Couvertine Verticale 212mm intérieur,0,ml, 17.00 € , -   € 
Pliage Bardage,Couvertine Verticale 278mm intérieur,0,ml, 17.00 € , -   € 
Pliage Bardage,Pliage d'angle,0,ml, 17.60 € , -   € 
Pliage Bardage,Pliage d'angle intérieur,0,ml, 17.60 € , -   € 
Pliage Couverture,Coffre de rive,0,ml, 25.80 € , -   € 
Pliage Couverture,Faîtage,0,ml, 15.90 € , -   € 
Pliage Couverture,noue,0,ml, 15.10 € , -   € 
Pliage Couverture,Egout,0,ml, 22.00 € , -   € 
Pliage Couverture,Chéneau,0,ml, 41.00 € , -   € 
Pliage Couverture,Gouttière,0,ml, 1.00 € , -   € 
Pliage Couverture,Solin,0,ml, 15.10 € , -   € 
Pliage Couverture,Tôle de rive,0,ml, 16.80 € , -   € 
Pliage Menuiserie,Linteau,0,ml, 20.70 € , -   € 
Pliage Menuiserie,Appui de fenêtre,0,ml, 16.30 € , -   € 
Pliage Menuiserie,Jambage,0,ml, 14.20 € , -   € 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Menuiseries Intérieure,Porte intérieure 73,0,U, 100.00 € , -   € 
Menuiseries Intérieure,Porte intérieure 83,0,U, 100.00 € , -   € 
Menuiseries Intérieure,Porte intérieure Coulissante (900x2100),0,U, 200.00 € , -   € 
Menuiseries Intérieure,Porte intérieure à galandage (900x2100),0,U, 200.00 € , -   € 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Sanitaires,Bac à Douche encastré (900x900),0,U, 290.00 € , -   € 
Sanitaires,Bac à Douche encastré (900x1200),0,U, 305.00 € , -   € 
Sanitaires,Bac à Douche encastré (900x1400),0,U, 300.00 € , -   € 
Sanitaires,Bac à Douche encastré (900x1500),0,U, 350.00 € , -   € 
Sanitaires,Bac à Douche encastré (900x1800),0,U, 400.00 € , -   € 
Sanitaires,Bac à Douche encastré (1200x1200),0,U, 270.00 € , -   € 
Sanitaires,Bac à Douche à poser (900x900),0,U, 200.00 € , -   € 
Sanitaires,Bac à Douche à poser (900x1200),0,U, 250.00 € , -   € 
Sanitaires,Bac à Douche à poser (900x1400),0,U, 280.00 € , -   € 
Sanitaires,Bac à Douche à poser (900x1500),0,U, 320.00 € , -   € 
Sanitaires,Bac à Douche à poser (900x1800),0,U, 350.00 € , -   € 
Sanitaires,Bac à Douche à poser (1200x1200),0,U, 230.00 € , -   € 
Sanitaires,Baignoire,0,U, 600.00 € , -   € 
Sanitaires,Colonne de Douche,0,U, 100.00 € , -   € 
Sanitaires,Lavabo sur pied,0,U, 280.00 € , -   € 
Sanitaires,Lavabo Suspendu,0,U, 100.00 € , -   € 
Sanitaires,WC à réservoir,0,U, 150.00 € , -   € 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
