Lot ,Nom ,Quantité,Unité, Prix HT , Total HT 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Ossature Métallique,Panne 150mm Charpente,43.12,Kg, €1.70 , €73.30 
Ossature Métallique,Mur Ext.,175.1,Kg, €1.70 , €297.67 
Ossature Métallique,Plancher,243.9,Kg, €1.70 , €414.63 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Couverture,Tôle Ondulée Alu (Couverture/Bardage),14.11,m², €18.50 , €261.04 
Couverture,Vis Complète pour couverture,113,U, €2.22 , €250.86 
Couverture,Crochet de sécurité,1,U, €30.00 , €30.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
OSB,Plaque OSB,9,U, €23.00 , €207.00 
OSB,Vis TFC 4.8*50,258,U, €0.07 , €18.06 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Isolation,Laine de verre Ep.100mm,25.75,m², €13.27 , €341.70 
Isolation,Adhésif Orange 50m,1,U, €5.90 , €5.90 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Bardage,Bardage Fibro Lame,25.75,m², €50.00 , €1 287.50 
Bardage,Pare-pluie,25.75,m², €2.20 , €56.65 
Bardage,Chevron 40mmx40mm 3m,15,U, €3.60 , €54.00 
Bardage,Vis bardage,258,U, €1.00 , €258.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Placo,Plaque placo BA13 1.2x2.5m,9,U, €15.75 , €141.75 
Placo,Prégylys 45,1,U, €34.20 , €34.20 
Placo,Vis placo boite 500 TCB-C-3.5x10 ZN,1,U, €8.50 , €8.50 
Placo,Disque de ponçage,3,U, €0.90 , €2.70 
Placo,Bande à joint,52,ml, €0.17 , €8.84 
Placo,Sac Enduit 25kg,2,U, €1.00 , €2.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
Peinture - Carrelage,Peinture Int. Pot Covatex 16L,1,U, €120.00 , €120.00 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
_____________________________________,____________________________________________________________,_________________,_____________, ________________________ , _________________ 
-,-,-,-, Total , €3 874.30 
